,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
0,1,2.4,6.7,-5.6,1024.5,51,0,16.1,6.1,16.5,-, , , , 
1,2,3.9,12.8,-2.2,1015.6,76,0,12.4,5.2,16.5,-, , , , 
2,3,2.3,12.8,-2.2,1019.7,84,6.1,7.4,18.9,25.9,-,o,o, ,o
3,4,,,,,,,,,,, , , , 
4,5,,,,,,,,,,,o,o, ,o
5,6,,,,,,,,,,,o, , , 
6,7,-3,0,-5.6,1025.2,63,0,16.1,15.7,22.2,31.7, , , , 
7,8,-3.9,-2.2,-7.2,1025.7,47,0,16.1,10.7,22.2,-, , , , 
8,9,-4.2,-3.3,-5,1021.7,56,0,16.1,11.7,16.5,-, , , , 
9,10,,,,,,,,,,, ,o, , 
10,11,,,,,,,,,,, , , , 
11,12,,,,,,,,,,, , , , 
12,13,-2.5,1.1,-13.9,1013.8,85,4.83,5.6,25.9,44.6,59.4,o,o, , 
13,14,1.7,4.4,-5.6,993.4,75,34.8,10.9,32.2,55.4,72.2,o,o, ,o
14,15,0.9,4.4,-2.2,1007,74,5.59,11.4,13,35.2,46.5, ,o, ,o
15,16,,,,,,,,,,,o,o, , 
16,17,,,,,,,,,,, , , , 
17,18,,,,,,,,,,,o,o, , 
18,19,1.9,6.1,-3.9,1015.5,78,2.29,11.7,6.9,20.6,-,o, , , 
19,20,4.8,9.4,-3.9,1019.6,61,6.1,15.8,9.6,20.6,29.4, , , , 
20,21,3.2,9.4,0.6,1013.9,93,0.51,3.9,10.9,38.9,48.2,o, ,o,o
21,22,,,,,,,,,,, , , , 
22,23,,,,,,,,,,, , , , 
23,24,,,,,,,,,,,o, , , 
24,25,-1.7,5.6,-4.4,1017.2,48,0,16.1,20,33.5,53.5, ,o, , 
25,26,-2.3,1.7,-4.4,1013.3,50,0,14,16.3,35.2,51.9, ,o, , 
26,27,-4.3,1.1,-8.9,1008.4,38,0.76,16.1,16.1,46.5,64.8, ,o, , 
27,28,,,,,,,,,,, ,o, , 
28,Monthly means and totals:,,,,,,,,,,,,,,
29, ,-0.9,4.1,-6,1018.1,61.9,130.84,13.6,14.8,30.2, ,10,12,1,5
