,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
0,1,-11.1,-6.7,-14.4,1028,47,0,16.1,22.2,29.4,44.6, , , , 
1,2,-7.8,-2.8,-14.4,1028.7,49,0,16.1,22,31.7,38.9, , , , 
2,3,-6.8,-1.1,-12.2,1026.2,47,0,16.1,11.5,25.9,-, , , , 
3,4,,,,,,,,,,, ,o, ,o
4,5,,,,,,,,,,, , , , 
5,6,,,,,,,,,,, , , , 
6,7,-12.4,-7.8,-15.6,1033.1,45,0,16.1,17.2,29.4,40.7, , , , 
7,8,-5.9,-1.1,-15.6,1025.1,55,0,15.9,19.1,25.9,35.2,o,o, , 
8,9,0.8,6.7,-8.9,1019.8,63,0,15.8,18.3,29.4,42.4, , , , 
9,10,,,,,,,,,,, , , , 
10,11,,,,,,,,,,, , , , 
11,12,,,,,,,,,,,o, , , 
12,13,7.2,17.8,-4.4,1009.3,74,15.49,10.6,23.5,44.6,66.5,o, , ,o
13,14,-6.6,-3.3,-9.4,1033.2,42,1.52,16.1,24.1,35.2,46.5, , , , 
14,15,-5.8,0,-9.4,1037.2,53,0,16.1,20.9,33.5,-, , , , 
15,16,,,,,,,,,,, , , , 
16,17,,,,,,,,,,,o,o, , 
17,18,,,,,,,,,,, , , , 
18,19,-1.5,3.9,-8.3,1017.5,51,0,16.1,14.1,24.1,35.2, , , , 
19,20,4.6,12.8,-6.7,1013,47,0,16.1,20,38.9,53.5, , , , 
20,21,6.4,12.8,0,1019.3,56,0,16.1,9.8,18.3,-, , , , 
21,22,,,,,,,,,,,o, , , 
22,23,,,,,,,,,,,o, , ,o
23,24,,,,,,,,,,, , , , 
24,25,-1.5,6.7,-5,1025.6,38,0,16.1,24.6,33.5,48.2, , , , 
25,26,-0.8,4.4,-6.7,1037.2,32,0,16.1,8.7,18.3,-, , , , 
26,27,4.2,13.9,-6.7,1032.6,60,0,16.1,13.9,35.2,46.5, , , , 
27,28,,,,,,,,,,,o, , , 
28,29,,,,,,,,,,, , , , 
29,30,,,,,,,,,,, ,o, , 
30,31,-3.7,2.8,-8.3,1022.8,43,0.25,16.1,20,37,46.5, , , , 
