Date,Time,PM2.5,PM2.5 AQI,0
,,,,255.875
,,,,217.08333333333334
,,,,229.16666666666666
,,,,392.2083333333333
,,,,536.5
,,,,321.8333333333333
,,,,298.4583333333333
,,,,264.9166666666667
,,,,404.5
,,,,442.6666666666667
,,,,220.95833333333334
,,,,251.375
,,,,188.5
,,,,164.75
,,,,376.9166666666667
,,,,362.0
,,,,235.625
,,,,0.0
,,,,0.0
,,,,0.0
,,,,57.0
,,,,114.33333333333333
,,,,148.125
,,,,184.875
,,,,202.91666666666666
,,,,205.125
,,,,214.125
,,,,202.95833333333334
,,,,308.875
,,,,323.875
,,,,315.7916666666667
,,,,322.25
,,,,246.04166666666666
,,,,200.91666666666666
,,,,187.16666666666666
,,,,187.79166666666666
,,,,167.79166666666666
,,,,99.5
,,,,143.91666666666666
,,,,100.25
,,,,126.0
,,,,163.91666666666666
,,,,152.875
12/2/2014,1:00 AM,174.0,213.0,
12/2/2014,2:00 AM,173.0,213.0,
12/2/2014,3:00 AM,153.0,214.0,
12/2/2014,4:00 AM,147.0,214.0,
12/2/2014,5:00 AM,153.0,215.0,
12/2/2014,6:00 AM,154.0,215.0,
12/2/2014,7:00 AM,206.0,211.0,
12/2/2014,8:00 AM,261.0,208.0,
12/2/2014,9:00 AM,220.0,203.0,
12/2/2014,10:00 AM,208.0,196.0,
12/2/2014,11:00 AM,159.0,195.0,
12/2/2014,12:00 PM,163.0,196.0,
12/2/2014,1:00 PM,89.0,197.0,
12/2/2014,2:00 PM,87.0,196.0,
12/2/2014,3:00 PM,57.0,195.0,
12/2/2014,4:00 PM,62.0,194.0,
12/2/2014,5:00 PM,67.0,194.0,
12/2/2014,6:00 PM,74.0,194.0,
12/2/2014,7:00 PM,78.0,194.0,
12/2/2014,8:00 PM,115.0,194.0,
12/2/2014,9:00 PM,159.0,194.0,
12/2/2014,10:00 PM,234.0,195.0,
12/2/2014,11:00 PM,252.0,197.0,
12/02/2014 24:00 AM,,224.0,201.0,
