Date,Time,PM2.5,PM2.5 AQI,0
,,,,255.875
,,,,217.08333333333334
2/1/2014,1:00 AM,230,304.0,
2/1/2014,2:00 AM,236,304.0,
2/1/2014,3:00 AM,320,304.0,
2/1/2014,4:00 AM,291,306.0,
2/1/2014,5:00 AM,286,307.0,
2/1/2014,6:00 AM,290,309.0,
2/1/2014,7:00 AM,280,311.0,
2/1/2014,8:00 AM,355,314.0,
2/1/2014,9:00 AM,361,316.0,
2/1/2014,10:00 AM,NoData,317.0,
2/1/2014,11:00 AM,223,316.0,
2/1/2014,12:00 PM,194,312.0,
2/1/2014,1:00 PM,142,303.0,
2/1/2014,2:00 PM,122,295.0,
2/1/2014,3:00 PM,108,289.0,
2/1/2014,4:00 PM,112,287.0,
2/1/2014,5:00 PM,110,284.0,
2/1/2014,6:00 PM,129,283.0,
2/1/2014,7:00 PM,168,280.0,
2/1/2014,8:00 PM,227,278.0,
2/1/2014,9:00 PM,245,277.0,
2/1/2014,10:00 PM,260,276.0,
2/1/2014,11:00 PM,266,275.0,
02/01/2014 24:00 AM,,255,275.0,
