Date,Time,PM2.5,PM2.5 AQI,0
,,,,255.875
,,,,217.08333333333334
,,,,229.16666666666666
,,,,392.2083333333333
,,,,536.5
,,,,321.8333333333333
,,,,298.4583333333333
,,,,264.9166666666667
,,,,404.5
,,,,442.6666666666667
,,,,220.95833333333334
,,,,251.375
,,,,188.5
,,,,164.75
,,,,376.9166666666667
,,,,362.0
,,,,235.625
,,,,0.0
,,,,0.0
,,,,0.0
,,,,57.0
,,,,114.33333333333333
,,,,148.125
,,,,184.875
,,,,202.91666666666666
,,,,205.125
,,,,214.125
,,,,202.95833333333334
,,,,308.875
,,,,323.875
30/01/2014,1:00 AM,279.0,347.0,
30/01/2014,2:00 AM,255.0,346.0,
30/01/2014,3:00 AM,196.0,345.0,
30/01/2014,4:00 AM,171.0,343.0,
30/01/2014,5:00 AM,154.0,343.0,
30/01/2014,6:00 AM,153.0,342.0,
30/01/2014,7:00 AM,152.0,341.0,
30/01/2014,8:00 AM,139.0,339.0,
30/01/2014,9:00 AM,172.0,335.0,
30/01/2014,10:00 AM,259.0,333.0,
30/01/2014,11:00 AM,352.0,328.0,
30/01/2014,12:00 PM,406.0,329.0,
30/01/2014,1:00 PM,405.0,328.0,
30/01/2014,2:00 PM,448.0,328.0,
30/01/2014,3:00 PM,437.0,330.0,
30/01/2014,4:00 PM,394.0,332.0,
30/01/2014,5:00 PM,381.0,333.0,
30/01/2014,6:00 PM,423.0,336.0,
30/01/2014,7:00 PM,536.0,339.0,
30/01/2014,8:00 PM,513.0,347.0,
30/01/2014,9:00 PM,427.0,353.0,
30/01/2014,10:00 PM,395.0,356.0,
30/01/2014,11:00 PM,368.0,358.0,
30/01/2014 24:00 AM,,358.0,358.0,
