Date,Time,PM2.5,PM2.5 AQI,0
,,,,255.875
,,,,217.08333333333334
,,,,229.16666666666666
,,,,392.2083333333333
,,,,536.5
,,,,321.8333333333333
,,,,298.4583333333333
,,,,264.9166666666667
,,,,404.5
,,,,442.6666666666667
,,,,220.95833333333334
,,,,251.375
,,,,188.5
,,,,164.75
,,,,376.9166666666667
,,,,362.0
,,,,235.625
,,,,0.0
,,,,0.0
,,,,0.0
,,,,57.0
,,,,114.33333333333333
,,,,148.125
,,,,184.875
,,,,202.91666666666666
,,,,205.125
,,,,214.125
,,,,202.95833333333334
,,,,308.875
,,,,323.875
,,,,315.7916666666667
31/01/2014,1:00 AM,269.0,359.0,
31/01/2014,2:00 AM,255.0,358.0,
31/01/2014,3:00 AM,220.0,358.0,
31/01/2014,4:00 AM,190.0,359.0,
31/01/2014,5:00 AM,176.0,360.0,
31/01/2014,6:00 AM,181.0,360.0,
31/01/2014,7:00 AM,177.0,361.0,
31/01/2014,8:00 AM,199.0,362.0,
31/01/2014,9:00 AM,237.0,364.0,
31/01/2014,10:00 AM,284.0,366.0,
31/01/2014,11:00 AM,306.0,367.0,
31/01/2014,12:00 PM,334.0,366.0,
31/01/2014,1:00 PM,392.0,363.0,
31/01/2014,2:00 PM,391.0,363.0,
31/01/2014,3:00 PM,373.0,361.0,
31/01/2014,4:00 PM,358.0,359.0,
31/01/2014,5:00 PM,439.0,358.0,
31/01/2014,6:00 PM,387.0,359.0,
31/01/2014,7:00 PM,343.0,358.0,
31/01/2014,8:00 PM,335.0,352.0,
31/01/2014,9:00 PM,377.0,346.0,
31/01/2014,10:00 PM,470.0,344.0,
31/01/2014,11:00 PM,481.0,347.0,
31/01/2014 24:00 AM,,405.0,351.0,
