Date,Time,PM2.5,PM2.5 AQI,0
,,,,255.875
,,,,217.08333333333334
,,,,229.16666666666666
,,,,392.2083333333333
,,,,536.5
,,,,321.8333333333333
,,,,298.4583333333333
,,,,264.9166666666667
,,,,404.5
,,,,442.6666666666667
10/1/2014,1:00 AM,685,437.0,
10/1/2014,2:00 AM,630,447.0,
10/1/2014,3:00 AM,559,456.0,
10/1/2014,4:00 AM,642,461.0,
10/1/2014,5:00 AM,535,471.0,
10/1/2014,6:00 AM,477,477.0,
10/1/2014,7:00 AM,NoData,480.0,
10/1/2014,8:00 AM,448,487.0,
10/1/2014,9:00 AM,470,492.0,
10/1/2014,10:00 AM,395,500.0,
10/1/2014,11:00 AM,338,500.0,
10/1/2014,12:00 PM,313,495.0,
10/1/2014,1:00 PM,286,492.0,
10/1/2014,2:00 PM,149,484.0,
10/1/2014,3:00 PM,152,469.0,
10/1/2014,4:00 PM,540,458.0,
10/1/2014,5:00 PM,528,468.0,
10/1/2014,6:00 PM,538,477.0,
10/1/2014,7:00 PM,613,485.0,
10/1/2014,8:00 PM,515,493.0,
10/1/2014,9:00 PM,738,490.0,
10/1/2014,10:00 PM,457,495.0,
10/1/2014,11:00 PM,383,489.0,
10/01/2014 24:00 AM,,233,481.0,
