Date,Time,PM2.5,PM2.5 AQI,0
,,,,284.79583333333335
,,,,219.72083333333333
,,,,182.1875
,,,,115.28749999999998
,,,,0.0
,,,,12.379166666666668
,,,,154.03750000000002
,,,,223.20833333333334
,,,,200.64583333333337
,,,,154.875
,,,,129.38749999999996
11/1/2013,1:00 AM,120.3,204.0,
11/1/2013,2:00 AM,98.5,201.0,
11/1/2013,3:00 AM,118.9,197.0,
11/1/2013,4:00 AM,117.6,195.0,
11/1/2013,5:00 AM,112.5,194.0,
11/1/2013,6:00 AM,119.1,193.0,
11/1/2013,7:00 AM,120.9,192.0,
11/1/2013,8:00 AM,134.5,190.0,
11/1/2013,9:00 AM,142.7,189.0,
11/1/2013,10:00 AM,165.9,188.0,
11/1/2013,11:00 AM,161.7,187.0,
11/1/2013,12:00 PM,128.8,187.0,
11/1/2013,1:00 PM,111.4,186.0,
11/1/2013,2:00 PM,102.2,185.0,
11/1/2013,3:00 PM,76.9,185.0,
11/1/2013,4:00 PM,61.1,185.0,
11/1/2013,5:00 PM,63.6,184.0,
11/1/2013,6:00 PM,73.5,184.0,
11/1/2013,7:00 PM,96.4,184.0,
11/1/2013,8:00 PM,133.2,185.0,
11/1/2013,9:00 PM,181.7,185.0,
11/1/2013,10:00 PM,232.2,185.0,
11/1/2013,11:00 PM,208.1,185.0,
11/01/2013 24:00 AM,,223.6,185.0,
