Date,Time,PM2.5,PM2.5 AQI,0
,,,,255.875
,,,,217.08333333333334
,,,,229.16666666666666
,,,,392.2083333333333
,,,,536.5
,,,,321.8333333333333
,,,,298.4583333333333
,,,,264.9166666666667
,,,,404.5
,,,,442.6666666666667
,,,,220.95833333333334
,,,,251.375
12/1/2014,1:00 AM,297.0,270.0,
12/1/2014,2:00 AM,295.0,274.0,
12/1/2014,3:00 AM,242.0,279.0,
12/1/2014,4:00 AM,204.0,283.0,
12/1/2014,5:00 AM,190.0,285.0,
12/1/2014,6:00 AM,190.0,287.0,
12/1/2014,7:00 AM,177.0,288.0,
12/1/2014,8:00 AM,178.0,288.0,
12/1/2014,9:00 AM,245.0,287.0,
12/1/2014,10:00 AM,249.0,284.0,
12/1/2014,11:00 AM,260.0,278.0,
12/1/2014,12:00 PM,235.0,276.0,
12/1/2014,1:00 PM,332.0,276.0,
12/1/2014,2:00 PM,216.0,281.0,
12/1/2014,3:00 PM,224.0,284.0,
12/1/2014,4:00 PM,183.0,288.0,
12/1/2014,5:00 PM,166.0,291.0,
12/1/2014,6:00 PM,165.0,294.0,
12/1/2014,7:00 PM,261.0,295.0,
12/1/2014,8:00 PM,307.0,300.0,
12/1/2014,9:00 PM,332.0,303.0,
12/1/2014,10:00 PM,358.0,304.0,
12/1/2014,11:00 PM,362.0,303.0,
12/01/2014 24:00 AM,,365.0,301.0,
