Date,Time,PM2.5,0
,,,172.75
,,,146.79166666666666
,,,113.875
,,,144.75
,,,118.45833333333333
5/1/2015,1:00 AM,135.0,
5/1/2015,2:00 AM,120.0,
5/1/2015,3:00 AM,113.0,
5/1/2015,4:00 AM,118.0,
5/1/2015,5:00 AM,140.0,
5/1/2015,6:00 AM,125.0,
5/1/2015,7:00 AM,117.0,
5/1/2015,8:00 AM,125.0,
5/1/2015,9:00 AM,135.0,
5/1/2015,10:00 AM,146.0,
5/1/2015,11:00 AM,124.0,
5/1/2015,12:00 PM,130.0,
5/1/2015,1:00 PM,113.0,
5/1/2015,2:00 PM,97.0,
5/1/2015,3:00 PM,89.0,
5/1/2015,4:00 PM,83.0,
5/1/2015,5:00 PM,78.0,
5/1/2015,6:00 PM,98.0,
5/1/2015,7:00 PM,105.0,
5/1/2015,8:00 PM,119.0,
5/1/2015,9:00 PM,129.0,
5/1/2015,10:00 PM,144.0,
5/1/2015,11:00 PM,131.0,
05/01/2015 24:00 AM,,129.0,
